Ordem,UF,Municipio ,Cidade,Admin,Escola,N_alunos,N_participantes,P_Participantes,NSE,NSE,Nivel_Docente,Media_30melhores,Media
802,SP,DIADEMA,interior,Privada,DIADEMA COLEGIO INTEGRADO,46,34,73.91,Alto,Alto ou Muito Alto,63.9,568.14,552.75
803,SP,BATATAIS,interior,Privada,BATATAIS INTEGRADO CENTRO ESCOLAR DE,18,17,94.44,Muito Alto,Alto ou Muito Alto,55.8,NaN,552.73
804,SP,SAO PAULO,capital,Privada,RICARO COLEGIO UNIDADE II,12,8,66.67,Alto,Alto ou Muito Alto,56.3,NaN,552.7
805,SP,SANTOS,interior,Privada,CARMO COLEGIO,68,64,94.12,Muito Alto,Alto ou Muito Alto,46.9,603.78,552.49
806,SP,JUNDIAI,interior,Privada,SESI 179 CENTRO EDUCACIONAL,31,27,87.1,Alto,Alto ou Muito Alto,53.8,NaN,552.41
807,SP,SAO ROQUE,interior,Privada,SAO ROQUE INSTITUTO DE EDUCACAO E CULTURA,37,36,97.3,Muito Alto,Alto ou Muito Alto,67.3,570.68,552.33
808,SP,OSASCO,interior,Privada,ASSIS CHATEAUBRIAND EMB EEFMEPJA,471,385,81.74,Alto,Alto ou Muito Alto,61.5,659.43,552.32
809,SP,LINS,interior,Privada,ETL DE LINS,35,26,74.29,Muito Alto,Alto ou Muito Alto,81.1,NaN,552.29
810,SP,VARZEA PAULISTA,interior,Privada,FUTURA COLEGIO,19,13,68.42,Alto,Alto ou Muito Alto,66.7,NaN,552.21
811,SP,PIRACICABA,interior,Privada,SALESIANO DOM BOSCO COLEGIO,48,43,89.58,Muito Alto,Alto ou Muito Alto,60.5,596.15,552.2
812,SP,SAO PAULO,capital,Privada,BRUNO BETENHEIN INSTITUTO EDUCACIONAL,22,13,59.09,Muito Alto,Alto ou Muito Alto,50,NaN,552.2
813,SP,FRANCA,interior,Privada,PESSOA COLEGIO,77,73,94.81,Muito Alto,Alto ou Muito Alto,73.2,617.4,552.18
814,SP,SAO PAULO,capital,Privada,SAO LUIZ DE GONZAGA III COLEGIO,39,35,89.74,Alto,Alto ou Muito Alto,71.4,569.79,552.16
815,SP,MONTE ALTO,interior,Privada,COLEGIO UNIDADE MONTE ALTO DE ENSINO,36,33,91.67,Alto,Alto ou Muito Alto,56.4,562.25,552.05
816,SP,JACAREI,interior,Privada,SAINT EXUPERY PEQUENO PRINCIPE COLEGIO SEPP,26,24,92.31,Muito Alto,Alto ou Muito Alto,61,NaN,551.85
817,SP,SANTA CRUZ DO RIO PARDO,interior,Privada,SANTOS CENTRO EDUCACIONAL,25,23,92,Alto,Alto ou Muito Alto,39.5,NaN,551.8
818,SP,MOCOCA,interior,Privada,MARIA IMACULADA COLEGIO,19,18,94.74,Alto,Alto ou Muito Alto,76.7,NaN,551.76
819,SP,BATATAIS,interior,Estadual,ANTONIO DE PADUA CARDOSO ETE,120,114,95,M‚dio Alto,M‚dio ou M‚dio Alto,76.2,611.68,551.75
820,SP,PROMISSAO,interior,Privada,ZETA SISTEMA DE ENSINO DE PROMISSAO,25,19,76,Alto,Alto ou Muito Alto,56.9,NaN,551.75
821,SP,SAO PAULO,capital,Privada,JOSE DE PAIVA NETTO INSTITUTO DE EDUCACAO,53,49,92.45,M‚dio Alto,M‚dio ou M‚dio Alto,61.5,581.81,551.66
822,SP,OSASCO,interior,Privada,NOSSA SENHORA DE MISERICORDIA COLEGIO,55,50,90.91,Muito Alto,Alto ou Muito Alto,65.3,588.37,551.63
823,SP,SAO PAULO,capital,Privada,ISLAMICA BRASILEIRA ESCOLA,24,20,83.33,Alto,Alto ou Muito Alto,59.2,NaN,551.56
824,SP,TAUBATE,interior,Privada,SANTO ANTONIO INSTITUTO DE ENSINO,120,88,73.33,Alto,Alto ou Muito Alto,61.1,606.43,551.55
825,SP,MOJI MIRIM,interior,Estadual,PEDRO FERREIRA ALVES ETE,188,168,89.36,Alto,Alto ou Muito Alto,63.1,620.12,551.46
826,SP,MONTE ALTO,interior,Privada,MARIA EUGENIA PROFA COLEGIO,18,16,88.89,Alto,Alto ou Muito Alto,64.3,NaN,551.46
827,SP,PRESIDENTE VENCESLAU,interior,Privada,PRESIDENTE VENCESLAU ESCOLA COOPERATIVA DE,14,14,100,Muito Alto,Alto ou Muito Alto,56.8,NaN,551.38
828,SP,SAO SEBASTIAO,interior,Privada,SAO SEBASTIAO COLEGIO EDUCACAO INFANTIL E FUNDAMENTAL,27,23,85.19,Muito Alto,Alto ou Muito Alto,54.5,NaN,551.37
829,SP,PIRACICABA,interior,Privada,SELETIVO COLEGIO,33,29,87.88,Muito Alto,Alto ou Muito Alto,61.9,NaN,551.34
830,SP,PENAPOLIS,interior,Privada,FRANCISCANO CORACAO DE MARIA COLEGIO,48,47,97.92,Alto,Alto ou Muito Alto,82.3,587.94,551.34
831,SP,JUNDIAI,interior,Privada,DOMUS SAPIENS COLEGIO UNIDADE II,38,26,68.42,Muito Alto,Alto ou Muito Alto,77.3,NaN,551.28
832,SP,SAO PAULO,capital,Privada,PERSPECTIVA ESCOLA,46,42,91.3,Alto,Alto ou Muito Alto,36.4,568.17,551.16
833,SP,PONTAL,interior,Privada,SONHO MEU CENTRO DE EDUCACAO INTEGRADA,30,29,96.67,Alto,Alto ou Muito Alto,42.9,NaN,551.13
834,SP,SAO JOSE DO RIO PARDO,interior,Privada,UNIGRAU COLEGIO,32,30,93.75,Alto,Alto ou Muito Alto,78.8,551.12,551.12
835,SP,PRAIA GRANDE,interior,Privada,UNIVERSO COLEGIO,16,12,75,Alto,Alto ou Muito Alto,44.7,NaN,551.11
836,SP,GUARULHOS,interior,Privada,CANADA COLEGIO,46,33,71.74,Alto,Alto ou Muito Alto,49,559.78,551.02
837,SP,SAO PAULO,capital,Privada,INTERNACIONAL ITALO BRASILEIRO COLEGIO,17,14,82.35,Muito Alto,Alto ou Muito Alto,54.2,NaN,550.99
838,SP,ATIBAIA,interior,Privada,SAO PAULO COLEGIO EDUC INF ENS FUND E MEDIO,35,19,54.29,Alto,Alto ou Muito Alto,61.9,NaN,550.99
839,SP,SAO PAULO,capital,Privada,PORTINARI INSTITUTO EDUCACIONAL,37,33,89.19,Alto,Alto ou Muito Alto,59.1,565.67,550.85
840,SP,SAO PAULO,capital,Privada,SESI 032 CENTRO EDUCACIONAL,59,46,77.97,Alto,Alto ou Muito Alto,37,578.76,550.73
841,SP,ARARAQUARA,interior,Privada,SANTA TEREZINHA EXTERNATO,93,81,87.1,Alto,Alto ou Muito Alto,44.5,603.29,550.71
842,SP,SAO PEDRO,interior,Privada,FENIX COLEGIO,12,12,100,Alto,Alto ou Muito Alto,73.3,NaN,550.65
843,SP,PIRANGI,interior,Privada,SANTO ANTONIO COLEGIO,40,36,90,Alto,Alto ou Muito Alto,66.1,573.88,550.64
844,SP,PINDAMONHANGABA,interior,Privada,CENTRO ED PROPEDEUTICO EI ENSINO FUNDAMENTAL MEDIO E EJA,11,10,90.91,Alto,Alto ou Muito Alto,59.4,NaN,550.52
845,SP,SAO PAULO,capital,Privada,SAO FRANCISCO DE ASSIS COLEGIO,50,44,88,Alto,Alto ou Muito Alto,52.5,583.3,550.5
846,SP,SAO PAULO,capital,Privada,ALIADO COLEGIO UNIDADE JOAO PAULO II,32,16,50,Alto,Alto ou Muito Alto,53.8,NaN,550.44
847,SP,CAPIVARI,interior,Privada,ALEGRIA DE CRESCER ESCOLA DE ENS MEDIO,46,38,82.61,Muito Alto,Alto ou Muito Alto,45.7,576.96,550.44
848,SP,LEME,interior,Privada,COC LEME COLEGIO,27,26,96.3,Muito Alto,Alto ou Muito Alto,55.1,NaN,550.43
849,SP,SAO PAULO,capital,Privada,SESI 415 CENTRO EDUCACIONAL,31,26,83.87,Alto,Alto ou Muito Alto,46.2,NaN,550.42
850,SP,SAO PAULO,capital,Privada,EAG EAG COLEGIO TECNICO,18,13,72.22,Alto,Alto ou Muito Alto,45.7,NaN,550.38
851,SP,CACAPAVA,interior,Estadual,MACHADO DE ASSIS ETE,79,70,88.61,M‚dio Alto,M‚dio ou M‚dio Alto,63.2,590.64,550.36
852,SP,EMBU-GUACU,interior,Privada,ARCO IRIS ENCANTADO EEI E EF,21,14,66.67,Alto,Alto ou Muito Alto,58.3,NaN,550.34
853,SP,CRUZEIRO,interior,Privada,EDUCARTE COLEGIO ENSINO MEDIO,24,22,91.67,Alto,Alto ou Muito Alto,63.9,NaN,550.3
854,SP,ATIBAIA,interior,Privada,CEFI ESCOLA,17,13,76.47,Muito Alto,Alto ou Muito Alto,46.9,NaN,550.28
855,SP,LARANJAL PAULISTA,interior,Privada,LARANJAL COLEGIO DE ENS FUND E MEDIO,25,23,92,Muito Alto,Alto ou Muito Alto,64.9,NaN,550.28
856,SP,RANCHARIA,interior,Privada,RANCHARIA COLEGIO DE ENSINO MEDIO DE,25,20,80,Alto,Alto ou Muito Alto,68.6,NaN,550.26
857,SP,ITANHAEM,interior,Privada,ALBERT EINSTEIN COLEGIO,14,9,64.29,Muito Alto,Alto ou Muito Alto,26.5,NaN,550.16
858,SP,GUAIRA,interior,Privada,SANTA LUZ CENTRO EDUCACAO,34,30,88.24,Alto,Alto ou Muito Alto,65.5,550.06,550.06
859,SP,CATANDUVA,interior,Privada,INSTITUTO EDUCACIONAL DE CATANDUVA IEC,41,34,82.93,Alto,Alto ou Muito Alto,76.7,568.41,550.06
860,SP,CATANDUVA,interior,Privada,RESSURREICAO COLEGIO,93,81,87.1,Alto,Alto ou Muito Alto,71.8,603.34,550.03
861,SP,SAO CAETANO DO SUL,interior,Privada,FENIX SANTA PAULA ESCOLA UNDADE I E II,78,65,83.33,Muito Alto,Alto ou Muito Alto,72.4,602.36,550
862,SP,ARACATUBA,interior,Estadual,ARACATUBA ETE DE,80,72,90,M‚dio Alto,M‚dio ou M‚dio Alto,70.6,596.41,549.97
863,SP,JUNDIAI,interior,Privada,DOMUS SAPIENS COLEGIO UNIDADE I,27,24,88.89,Alto,Alto ou Muito Alto,76.6,NaN,549.97
864,SP,RIBEIRAO PRETO,interior,Privada,LACORDAIRE COLEGIO ENSINO MEDIO,37,35,94.59,Muito Alto,Alto ou Muito Alto,45.2,568,549.97
865,SP,FERRAZ DE VASCONCELOS,interior,Privada,LUTERANO INSTITUTO EDUCACIONAL,23,19,82.61,Alto,Alto ou Muito Alto,30.8,NaN,549.96
866,SP,MOGI GUACU,interior,Privada,EDUCAR INSTITUTO EDUCACIONAL,23,22,95.65,Muito Alto,Alto ou Muito Alto,59.1,NaN,549.87
867,SP,SAO PAULO,capital,Privada,SAO PAULO COLEGIO METROPOLITANO,14,7,50,Alto,Alto ou Muito Alto,55,NaN,549.77
868,SP,SAO PAULO,capital,Privada,SAO MIGUEL ARCANJO COLEGIO FRANCISCANO,67,54,80.6,Muito Alto,Alto ou Muito Alto,68.8,588.81,549.77
869,SP,SAO PAULO,capital,Privada,TIETE COLEGIO,13,12,92.31,Alto,Alto ou Muito Alto,62.2,NaN,549.75
870,SP,PRAIA GRANDE,interior,Privada,VILA VERDE CENTRO EDUCACIONAL,16,14,87.5,Alto,Alto ou Muito Alto,30.8,NaN,549.68
871,SP,ARTUR NOGUEIRA,interior,Privada,NOSSA SENHORA DAS DORES EEBEP,12,11,91.67,Muito Alto,Alto ou Muito Alto,75,NaN,549.67
872,SP,SAO PAULO,capital,Privada,NOVO DINAMICO INSTITUTO DE ENSINO,13,11,84.62,Alto,Alto ou Muito Alto,70.4,NaN,549.63
873,SP,SAO PAULO,capital,Privada,DOM BOSCO LIMAO COLEGIO,10,8,80,Alto,Alto ou Muito Alto,23.7,NaN,549.53
874,SP,BAURU,interior,Privada,PARAISO COLEGIO,20,18,90,Alto,Alto ou Muito Alto,52.9,NaN,549.48
875,SP,SAO PAULO,capital,Privada,COLEGIO NOSSA SENHORA CONSOLATA,57,44,77.19,Alto,Alto ou Muito Alto,55.4,579.1,549.47
876,SP,PIRASSUNUNGA,interior,Estadual,GUSTAVO KLUG TENENTE AVIADOR ETE,79,66,83.54,M‚dio Alto,M‚dio ou M‚dio Alto,65.2,590.43,549.41
877,SP,OSASCO,interior,Privada,NOSSA SENHORA DOS REMEDIOS COLEGIO,85,66,77.65,Alto,Alto ou Muito Alto,48.8,595.88,549.3
878,SP,SAO PAULO,capital,Privada,JOAO XXIII ESCOLA,45,33,73.33,Alto,Alto ou Muito Alto,70.2,558.83,549.27
879,SP,SERRA NEGRA,interior,Privada,LIBERE VIVERE COLEGIO DE ENSINO BASICO,10,8,80,Alto,Alto ou Muito Alto,55.3,NaN,549.2
880,SP,ARARAS,interior,Privada,SESI 303 CENTRO EDUCACIONAL,56,50,89.29,Alto,Alto ou Muito Alto,76.9,578.43,549.17
881,SP,PRAIA GRANDE,interior,Privada,NOVOMUNDO COLEGIO,30,20,66.67,Alto,Alto ou Muito Alto,57.6,NaN,549.17
882,SP,ILHA SOLTEIRA,interior,Privada,EUCLIDES DA CUNHA COLEGIO,13,12,92.31,Alto,Alto ou Muito Alto,55.3,NaN,549.13
883,SP,GUARATINGUETA,interior,Estadual,ALFREDO DE BARROS SANTOS PROF ETE,123,99,80.49,M‚dio Alto,M‚dio ou M‚dio Alto,54.2,599.95,549.12
884,SP,CUBATAO,interior,Estadual,CUBATAO ETE DE,114,101,88.6,M‚dio Alto,M‚dio ou M‚dio Alto,61,603.51,549
885,SP,BARUERI,interior,Privada,CHALUPE COLEGIO,23,15,65.22,Muito Alto,Alto ou Muito Alto,62.7,NaN,548.98
886,SP,SAO JOSE DOS CAMPOS,interior,Privada,TEOFILO REZENDE COLEGIO,13,13,100,Muito Alto,Alto ou Muito Alto,46.2,NaN,548.91
887,SP,SAO PAULO,capital,Privada,PAN TERRA COLEGIO E PRE ESCOLA,55,50,90.91,Alto,Alto ou Muito Alto,56.5,590.01,548.84
888,SP,CRAVINHOS,interior,Privada,CRAVINHOS CENTRO EDUCACIONAL DE,19,16,84.21,Alto,Alto ou Muito Alto,74.3,NaN,548.78
889,SP,AMPARO,interior,Estadual,JOAO BELARMINO ETE,159,145,91.19,M‚dio Alto,M‚dio ou M‚dio Alto,62.4,617.14,548.75
890,SP,SAO PAULO,capital,Estadual,CIDADE TIRADENTES ETE DE,120,105,87.5,M‚dio Alto,M‚dio ou M‚dio Alto,72.9,604.38,548.71
891,SP,SUZANO,interior,Privada,SESI 431 CENTRO EDUCACIONAL,31,31,100,Alto,Alto ou Muito Alto,50,551.79,548.71
892,SP,CAMPO LIMPO PAULISTA,interior,Privada,COSMOS COLEGIO,44,23,52.27,Alto,Alto ou Muito Alto,44.4,NaN,548.62
893,SP,GUARARAPES,interior,Privada,LUMEN COLEGIO,31,31,100,Muito Alto,Alto ou Muito Alto,67.3,554.04,548.53
894,SP,BOTUCATU,interior,Estadual,DOMINGOS MINICUCCI FILHO DR ETE,148,125,84.46,M‚dio Alto,M‚dio ou M‚dio Alto,72.9,609.82,548.48
895,SP,JALES,interior,Privada,XV DE ABRIL COLEGIO EIFM,46,41,89.13,Alto,Alto ou Muito Alto,54.4,581.52,548.43
896,SP,URUPES,interior,Privada,OBJETIVO COLEGIO,31,27,87.1,Alto,Alto ou Muito Alto,66.7,NaN,548.4
897,SP,GUARULHOS,interior,Privada,FARIAS BRITO COLEGIO,24,21,87.5,Alto,Alto ou Muito Alto,46.5,NaN,548.39
898,SP,SANTO ANDRE,interior,Privada,SAGRADA FAMILIA INSTITUTO,12,11,91.67,Muito Alto,Alto ou Muito Alto,41.7,NaN,548.31
899,SP,SAO PAULO,capital,Privada,BATISTA DA PENHA COLEGIO,20,19,95,Muito Alto,Alto ou Muito Alto,53.8,NaN,548.26
900,SP,SAO PAULO,capital,Privada,ADELIA COSTA E SILVA COLEGIO,28,22,78.57,Alto,Alto ou Muito Alto,16.7,NaN,548.2
901,SP,SAO PAULO,capital,Privada,GLOBAL COLEGIO INTEGRADO,27,23,85.19,Muito Alto,Alto ou Muito Alto,63.2,NaN,548.15
902,SP,BRAGANCA PAULISTA,interior,Privada,INTEGRADO DE BRAGANCA PAULISTA COLEGIO,45,39,86.67,Muito Alto,Alto ou Muito Alto,78.7,571.24,548.11
903,SP,AMERICANA,interior,Estadual,POLIVALENTE DE AMERICANA ETE,372,329,88.44,Alto,Alto ou Muito Alto,64.9,640.97,548.05
904,SP,SAO PAULO,capital,Privada,MOYE PADRE COLEGIO,77,57,74.03,Alto,Alto ou Muito Alto,57.9,592.8,547.96
905,SP,SERTAOZINHO,interior,Privada,SERTAOZINHO CURSO E COLEGIO,84,78,92.86,Alto,Alto ou Muito Alto,70.8,604.64,547.95
906,SP,CAMPINAS,interior,Privada,CRESCER COLEGIO,49,45,91.84,Alto,Alto ou Muito Alto,52.7,586.39,547.92
907,SP,MAUA,interior,Privada,SESI 406 CENTRO EDUCACIONAL,26,21,80.77,Alto,Alto ou Muito Alto,76.9,NaN,547.87
908,SP,AMERICANA,interior,Privada,INDEPENDENTE DE AMERICANA CENTRO EDUCACIONAL,204,173,84.8,Muito Alto,Alto ou Muito Alto,71.8,634.37,547.85
909,SP,SAO PAULO,capital,Privada,SILVIO GONZALEZ COLEGIO,54,46,85.19,Muito Alto,Alto ou Muito Alto,67.9,580.89,547.85
910,SP,SAO PAULO,capital,Privada,MARY WARD COLEGIO,39,30,76.92,Muito Alto,Alto ou Muito Alto,58.9,547.81,547.81
911,SP,DIADEMA,interior,Privada,STAGIUM INSTITUTO EDUCACIONAL,24,24,100,Alto,Alto ou Muito Alto,62.9,NaN,547.81
912,SP,SAO PAULO,capital,Privada,DOMINUS VIVENDI COLEGIO EIFM,38,27,71.05,Muito Alto,Alto ou Muito Alto,70.2,NaN,547.8
913,SP,SAO PAULO,capital,Privada,PENHENSE ESCOLA ESP,75,58,77.33,Alto,Alto ou Muito Alto,61.1,597.48,547.74
914,SP,SOROCABA,interior,Privada,SESI 126 CENTRO EDUCACIONAL,23,20,86.96,Alto,Alto ou Muito Alto,76.9,NaN,547.71
915,SP,SANTOS,interior,Privada,RAMOS LOPEZ COLEGIO,19,11,57.89,Alto,Alto ou Muito Alto,52.9,NaN,547.71
916,SP,VINHEDO,interior,Privada,SESI 242 CENTRO EDUCACIONAL,32,29,90.63,Alto,Alto ou Muito Alto,60.6,NaN,547.68
917,SP,AMERICANA,interior,Privada,DOM BOSCO COLEGIO SALESIANO,73,51,69.86,Muito Alto,Alto ou Muito Alto,34.1,580.87,547.58
918,SP,TANABI,interior,Privada,JOAO DE MELLO MACEDO COLEGIO,16,15,93.75,Alto,Alto ou Muito Alto,70.2,NaN,547.47
919,SP,RIBEIRAO PIRES,interior,Privada,NURE NUCLEO RIBEIRAOPIRENSE DE EDUCACAO,12,12,100,Alto,Alto ou Muito Alto,14.7,NaN,547.45
920,SP,BAURU,interior,Privada,OBJETIVO ESTORIL COLEGIO,53,35,66.04,Muito Alto,Alto ou Muito Alto,43.8,566.18,547.42
921,SP,LIMEIRA,interior,Privada,LIMEIRENSE COLEGIO,60,56,93.33,Muito Alto,Alto ou Muito Alto,45.5,591.64,547.39
922,SP,PRESIDENTE VENCESLAU,interior,Privada,ESCOTECO COLEGIO,30,25,83.33,Muito Alto,Alto ou Muito Alto,77.4,NaN,547.39
923,SP,SAO PAULO,capital,Privada,ESPERANTO COLEGIO,20,17,85,Muito Alto,Alto ou Muito Alto,46.2,NaN,547.31
924,SP,CAJAMAR,interior,Estadual,GINO REZAGHI ETE,78,70,89.74,M‚dio Alto,M‚dio ou M‚dio Alto,64.7,595.72,547.21
925,SP,SAO PAULO,capital,Privada,PUERI DOMUS ESCOLA UNIDADE CRESCER SEMPRE,26,25,96.15,M‚dio Alto,M‚dio ou M‚dio Alto,40.5,NaN,547.2
926,SP,RIBEIRAO PRETO,interior,Privada,SESI 259 CENTRO EDUCACIONAL,30,26,86.67,Alto,Alto ou Muito Alto,53.8,NaN,547.12
927,SP,SAO PAULO,capital,Privada,SOLUCAO MASTER COLEGIO,34,17,50,Alto,Alto ou Muito Alto,49,NaN,547.1
928,SP,GUARULHOS,interior,Privada,ELITE EDUCANDARIO,20,12,60,Alto,Alto ou Muito Alto,55,NaN,547.08
929,SP,AGUDOS,interior,Privada,INSTITUTO NOSSA SENHORA DO SAGRADO CORACAO,16,12,75,Alto,Alto ou Muito Alto,48.9,NaN,547.03
930,SP,ALTINOPOLIS,interior,Privada,CARLOS DRUMOND DE ANDRADE COLEGIO,13,13,100,Alto,Alto ou Muito Alto,81.1,NaN,547.01
931,SP,SANTANA DE PARNAIBA,interior,Privada,FERNAO GAIVOTA ESCOLA DE ENS FUNDAMENTAL MEDIO E ED INFANTIL,10,7,70,Muito Alto,Alto ou Muito Alto,51.1,NaN,547
932,SP,SAO CAETANO DO SUL,interior,Privada,ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III,19,19,100,Muito Alto,Alto ou Muito Alto,66.7,NaN,546.92
933,SP,SAO PAULO,capital,Privada,FUTURO ESCOLA DO,20,17,85,Muito Alto,Alto ou Muito Alto,27.3,NaN,546.91
934,SP,AGUDOS,interior,Privada,FAAG COLEGIO,13,11,84.62,Muito Alto,Alto ou Muito Alto,33.3,NaN,546.9
935,SP,SAO PAULO,capital,Privada,POLILOGOS COLEGIO,13,7,53.85,Alto,Alto ou Muito Alto,40.5,NaN,546.87
936,SP,SANTO ANDRE,interior,Privada,PAINEIRA CENTRO EDUCACIONAL,17,12,70.59,Alto,Alto ou Muito Alto,55.9,NaN,546.86
937,SP,CAMPINAS,interior,Privada,OBJETIVO VILA INDUSTRIAL,117,103,88.03,Alto,Alto ou Muito Alto,56.7,605.02,546.82
938,SP,TATUI,interior,Privada,SESI 024 CENTRO EDUCACIONAL,25,24,96,Alto,Alto ou Muito Alto,61.5,NaN,546.81
939,SP,SANTOS,interior,Privada,VERTEX COLEGIO,20,20,100,Alto,Alto ou Muito Alto,69.2,NaN,546.79
940,SP,SAO CARLOS,interior,Privada,INTERATIVO CURSO E COLEGIO,75,72,96,Alto,Alto ou Muito Alto,62.1,605.01,546.72
941,SP,SAO PAULO,capital,Privada,ORLANDO GARCIA DA SILVEIRA COLEGIO,15,11,73.33,Muito Alto,Alto ou Muito Alto,75.7,NaN,546.62
942,SP,BRAGANCA PAULISTA,interior,Privada,SESI 012 CENTRO EDUCACIONAL,30,27,90,Alto,Alto ou Muito Alto,66.7,NaN,546.6
943,SP,COSMOPOLIS,interior,Privada,MEU COLEGIO,11,10,90.91,Alto,Alto ou Muito Alto,71.9,NaN,546.59
944,SP,SAO PAULO,capital,Privada,PIRITUBANO INSTITUTO EDUCACIONAL,37,34,91.89,Alto,Alto ou Muito Alto,62.7,560.5,546.59
945,SP,GUARULHOS,interior,Privada,CIDADE JARDIM CUMBICA COLEGIO,55,48,87.27,Alto,Alto ou Muito Alto,46.2,583.15,546.55
946,SP,SAO PAULO,capital,Privada,PAULA MONTALT MADRE COLEGIO,47,36,76.6,Muito Alto,Alto ou Muito Alto,63.6,561.53,546.54
947,SP,SANTOS,interior,Privada,STELLA MARIS COLEGIO,15,11,73.33,Muito Alto,Alto ou Muito Alto,53.2,NaN,546.53
948,SP,OSASCO,interior,Privada,PAULISTA CENTRO EDUCACIONAL,31,20,64.52,Alto,Alto ou Muito Alto,52.4,NaN,546.51
949,SP,DRACENA,interior,Privada,GUMERCINDO CORREA DE ALMEIDA MORAES PROF ESCOLA,40,39,97.5,Muito Alto,Alto ou Muito Alto,63.2,573.78,546.49
950,SP,BAURU,interior,Estadual,RODRIGUES DE ABREU ETE,147,133,90.48,M‚dio Alto,M‚dio ou M‚dio Alto,49.6,605.95,546.37
951,SP,SAO JOAQUIM DA BARRA,interior,Estadual,PEDRO BADRAN ETE,119,105,88.24,M‚dio Alto,M‚dio ou M‚dio Alto,59.8,609.28,546.36
952,SP,TUPA,interior,Privada,OBJETIVO DE TUPA COLEGIO,32,26,81.25,Muito Alto,Alto ou Muito Alto,68.8,NaN,546.36
953,SP,SAO SEBASTIAO DA GRAMA,interior,Privada,GRAMENSE COLEGIO,11,11,100,M‚dio Alto,M‚dio ou M‚dio Alto,68.6,NaN,546.29
954,SP,PEDERNEIRAS,interior,Privada,PEDERNEIRAS COOPERATIVA EDUCACAO INSTITUTO ED E CULTURA DE,26,22,84.62,Alto,Alto ou Muito Alto,56.4,NaN,546.29
955,SP,SAO PAULO,capital,Privada,PAULISTA COLEGIO INTEGRADO,19,15,78.95,Alto,Alto ou Muito Alto,68.6,NaN,546.28
956,SP,JOSE BONIFACIO,interior,Privada,CORACAO IMACULADO DE MARIA COLEGIO,32,29,90.63,Alto,Alto ou Muito Alto,76.5,NaN,546.27
957,SP,GUARATINGUETA,interior,Privada,NOSSA SENHORA DO CARMO INSTITUTO,16,11,68.75,Muito Alto,Alto ou Muito Alto,58.3,NaN,546.25
958,SP,PRESIDENTE PRUDENTE,interior,Privada,JOAQUIM MURTINHO COLEGIO DE PRESIDENTE PRUDENTE,41,28,68.29,Muito Alto,Alto ou Muito Alto,85.1,NaN,546.21
959,SP,RIBEIRAO BONITO,interior,Privada,KUARUP COLEGIO,20,19,95,Alto,Alto ou Muito Alto,66.7,NaN,546.17
960,SP,OLIMPIA,interior,Privada,EDUVALE COLEGIO,17,15,88.24,Alto,Alto ou Muito Alto,80.5,NaN,546.17
961,SP,SAO JOSE DOS CAMPOS,interior,Privada,WALTER FORTUNATO ESCOLA,19,18,94.74,Alto,Alto ou Muito Alto,67.6,NaN,546.11
962,SP,SAO PAULO,capital,Privada,EVOLUCAO COLEGIO,17,15,88.24,Alto,Alto ou Muito Alto,59.5,NaN,546.1
963,SP,SAO PAULO,capital,Privada,RADIAL COLEGIO VOCACIONAL,16,10,62.5,Alto,Alto ou Muito Alto,52.5,NaN,546.08
964,SP,SAO PAULO,capital,Privada,ISAAC NEWTON SIR COLEGIO,69,51,73.91,Alto,Alto ou Muito Alto,52.1,582.68,546.07
965,SP,ARARAQUARA,interior,Privada,PABLO NERUDA COLEGIO,37,35,94.59,Muito Alto,Alto ou Muito Alto,55.2,561.03,546.07
966,SP,CATANDUVA,interior,Privada,JESUS ADOLESCENTE COLEGIO UNIDADE II,62,51,82.26,Muito Alto,Alto ou Muito Alto,72.4,582.09,546.06
967,SP,SANTO ANDRE,interior,Privada,POLICIA MILITAR COLEGIO DA UNIDADE SANTO ANDRE,17,13,76.47,Alto,Alto ou Muito Alto,48.5,NaN,546.02
968,SP,SOROCABA,interior,Privada,CIENCIAS E LETRAS EDUCACAO,84,69,82.14,Alto,Alto ou Muito Alto,76.6,598.82,546
969,SP,SAO PAULO,capital,Privada,APRENDIZ DO FUTURO COLEGIO,18,15,83.33,Alto,Alto ou Muito Alto,46.2,NaN,545.97
970,SP,MARACAI,interior,Privada,LEME AMSTALDEN COLEGIO,10,8,80,Alto,Alto ou Muito Alto,42.9,NaN,545.96
971,SP,IBIUNA,interior,Privada,CIDADE DE IBIUNA COLEGIO CENTRO ESTUDOS SUPLETIVO IBIUNA,13,10,76.92,Alto,Alto ou Muito Alto,48.6,NaN,545.94
972,SP,SAO PAULO,capital,Privada,SANTA TEREZINHA COLEGIO,29,20,68.97,Muito Alto,Alto ou Muito Alto,61.5,NaN,545.94
973,SP,SAO PAULO,capital,Privada,CONCORDIA COLEGIO,49,40,81.63,Alto,Alto ou Muito Alto,42.9,577.57,545.84
974,SP,MIRASSOL,interior,Privada,ABRAHAO NAIME COLEGIO,36,32,88.89,Muito Alto,Alto ou Muito Alto,80.6,553.54,545.77
975,SP,PEREIRA BARRETO,interior,Privada,XI DE AGOSTO COLEGIO,48,45,93.75,Alto,Alto ou Muito Alto,61.8,575.1,545.76
976,SP,ORLANDIA,interior,Privada,LOGOS COLEGIO,45,37,82.22,Alto,Alto ou Muito Alto,44.8,571.56,545.74
